name,latitude,longitude
Tòa nhà S1.01,10.8365308,106.8304498
Tòa nhà S1.01,10.8367506,106.8304603
Tòa nhà S2.01,10.8373587,106.8321187
Tòa nhà S3.03,10.8382132,106.8350402
Tòa nhà S3.03,10.8383487,106.8349564
Tòa nhà S5.01,10.8394551,106.8336106
Tòa nhà S5.01,10.8400337,106.8376581
Tòa nhà S5.03,10.8399976,106.8375433
Chợ Gò Công,10.8420169,106.8276639
Chợ Gò Công,10.8421676,106.8280257
Công ty FILIED,10.8485968,106.8076236
Ngã ba Mỹ Thành,10.8498655,106.8128376
Ngã ba Mỹ Thành,10.8514079,106.8137444
Đường Cầu Xây,10.8546215,106.8136593
Cầu Xây,10.856936,106.8136283
Học viện Thanh Thiếu niên Việt Nam,10.8628252,106.813553
Sân Golf Thủ Đức,10.868327,106.8138659
Ngã tư Samsung,10.8317924,106.803401
Tòa nhà S2.05,10.8377218,106.8331494
UBND Phường Long Thạnh Mỹ,10.8411687,106.825426
Cao đẳng Cảnh sát Nhân dân 2,10.8423293,106.820468
Trường THPT Nguyễn Huệ,10.8440179,106.818411
Trạm y tế Phường Long Thạnh Mỹ,10.8465556,106.8165179
Ngã ba Mỹ Thạnh,10.8489316,106.8146628
Saigon Hi-tech Park,10.8401034,106.8124292
Trường Đại học Nguyễn Tất Thành,10.8368265,106.8091949
Công ty Platel Vina,10.8307437,106.8048761
Công ty Mekophar,10.8304162,106.8049941
Trường Đại học Nguyễn Tất Thành,10.8371934,106.8099421
Saigon Hi-tech Park,10.8401819,106.812697
Ngã ba Mỹ Thạnh,10.8491951,106.8143563
Trạm y tế Phường Long Thạnh Mỹ,10.8464238,106.8164994
Trường THPT Nguyễn Huệ,10.84441,106.8179835
Cao đẳng Cảnh sát Nhân dân 2,10.8425593,106.8199362
UBND Phường Long Thạnh Mỹ,10.8411497,106.8243738
Tòa nhà S2.05,10.8374707,106.8330247
Tòa nhà S1.07,10.8376481,106.831622
Tòa nhà Văn phòng,10.8373316,106.8387837
Tòa nhà Văn phòng,10.8374881,106.8389421
Đại học Công nghệ TP.HCM - HUTECH,10.8413381,106.8087903
SANOFI VIETNAM,10.8341746,106.8111399
"Nipro Vietnam Co., Ltd.",10.8337982,106.810965
Jabil Vietnam,10.8361742,106.8132781
Trường Đại học FPT TP.HCM,10.8415805,106.8089656
