name,latitude,longitude
UBND Phường 17,10.8384347,106.6794039
Cầu Nguyễn Văn Cừ,10.7508118,106.687247
Khách sạn Sofitel,10.784146,106.7022474
Cổng Xe lửa,10.7912452,106.67243
Nhà Thờ Bình Hòa,10.8096755,106.6951544
ETown,10.8025366,106.6409551
ETown,10.8023794,106.6402177
Ngã tư Hoàng Hoa Thám,10.8020742,106.646984
Maximark Cộng Hòa,10.8010259,106.6591016
Công ty Lô Hội,10.8017302,106.6511364
Ngân hàng Quân đội,10.8013897,106.6547482
Vòng xoay Lăng Cha Cả,10.8016016,106.6625401
Đại học Văn Hiến,10.8040672,106.6860864
Bệnh viện Phước An,10.8038785,106.6875737
Phòng Cảnh sát Phòng cháy Chữa cháy Quận Bình Thạnh,10.8033408,106.6916712
Bệnh viện Gia Định,10.8031098,106.6934358
Ngã tư Thích Quảng Đức,10.8025249,106.6836428
Nhà thờ Hàng Xanh,10.8031651,106.7080886
Pico Plaza,10.8013061,106.6535769
Công an Quận Phú Nhuận,10.7996024,106.6737425
Ngã tư Phan Xích Long,10.8004303,106.6817073
Ngã tư Thích Quảng Đức,10.8026388,106.6839835
Trường Đại học Văn Hiến,10.8039006,106.6860951
Siêu thị Big C,10.7999475,106.6695734
Chợ Bà Chiểu,10.8031521,106.6993614
Tòa án Nhân dân Quận Bình Thạnh,10.803862,106.7011965
Chùa Bồ Đề,10.8034539,106.7040522
Ngã tư Phan Xích Long,10.8008736,106.6819424
Ngã ba Bình Giã,10.8022536,106.6444137
Công viên Văn hóa Phú Thuận,10.8033459,106.6903903
Chợ Bà Chiểu,10.8029565,106.6994287
Nhà thờ Hàng Xanh,10.8030956,106.7067035
Bệnh viện Quận Phú Nhuận,10.7983535,106.6706946
Cổng Xe lửa,10.7966018,106.673686
Viện Pasteur,10.7853989,106.6884993
Cây xăng Quân khu 7,10.7995853,106.6685643
Trần Quốc Toản,10.7868705,106.6868737
Chùa Vĩnh Nghiêm,10.7904163,106.6830644
Ngã tư Trần Huy Liệu,10.7932907,106.6792327
Trung tâm Văn hoá Quận Phú Nhuận,10.7952035,106.6760157
Ngã ba Ông Trác,10.9109478,106.5997782
Công ty Carimax Sài Gòn,10.9906013,106.5734981
UBND Tân Thạnh Đông,10.9610725,106.596476
Cây xăng Tài Lộc 3,10.9149929,106.6002909
Ngã ba Bình Mỹ,10.9217339,106.600848
Ngã ba Bình Giã,10.8020485,106.6442726
Nhà trẻ Phước An,10.8932631,106.5973885
Dốc Mít - Chen - Lin,11.0476321,106.5443442
Khu công nghiệp Tân Bình,10.8197459,106.6306651
Cây xăng Quang Vinh,10.9759573,106.5824452
"Chợ, nhà thờ Phú Hòa Đông",11.0283371,106.5649974
